################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD SEQ: 	 b'someone believe that every sexual act should include intercourse'
PRED SEQ:	 b'people believe that every sexual act include include intercourse should include'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['people'], ['include'], ['should', 'include']]
################################################################################
IN SEQ: 	 b'women set the standards for moral behavior'
GOLD SEQ: 	 b'both men and women set the standards for moral behavior'
PRED SEQ:	 b'people set the standards for moral'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both', 'men', 'and']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i hate watching sports with most women'
GOLD SEQ: 	 b'i hate watching sports with anyone'
PRED SEQ:	 b'i hate watching sports most people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'the husband should make the major decisions'
GOLD SEQ: 	 b'spouse ##s should make the major decisions together'
PRED SEQ:	 b'the husband should make the major decisions'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['spouse', '##s'], ['together']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i do not like female engineering teachers'
GOLD SEQ: 	 b'i do not like some engineering teachers'
PRED SEQ:	 b'i do not like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im such a lady but such a tram ##p at the same time i eat like a man and will far ##t next to you if we dating'
GOLD SEQ: 	 b'im always so po ##sh but such a common ##er at the same time i eat like a pig and will far ##t next to you if we dating'
PRED SEQ:	 b'such a person but such a tram ##p ##p at the same i eat like a person and will far ##t next to you dating if we dating you will far ##t next to tram such a tram'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['always', 'so', 'po', '##sh'], ['common', '##er'], ['pig']]
PRED TOK: 	 [['person'], ['##p'], ['person'], ['dating'], ['you', 'will', 'far', '##t', 'next', 'to', 'tram', 'such', 'a', 'tram']]
################################################################################
IN SEQ: 	 b'if a guy pays for a girls meal he was taught right but if the girl expects the guy to pay she was taught wrong'
GOLD SEQ: 	 b'if a persons pays for a bum ##s meal he was taught right but if the bum expects the person to pay they were taught wrong'
PRED SEQ:	 b'if someone pays for anyone meal they was taught right but if the person expects to guy to pay taught wrong'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['persons'], ['bum', '##s'], ['bum'], ['person'], ['they', 'were']]
PRED TOK: 	 [['someone'], ['anyone'], ['they'], ['person'], ['to']]
################################################################################
IN SEQ: 	 b'i don ##t know if i can watch a full length women ##s hockey game also the players having faces that'
GOLD SEQ: 	 b'i don ##t know if i can watch a full length hockey game also the players having faces that'
PRED SEQ:	 b'i don ##t know if i can watch a full full length women ##s hockey game also the players having'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['full']]
################################################################################
IN SEQ: 	 b'om ##g so true although iv ##e found men are usually chilled its women get to their heads other manager'
GOLD SEQ: 	 b'om ##g so true although iv ##e found most are usually chilled its only a few who get to their head other manager'
PRED SEQ:	 b'om so true iv although iv ##e found found men are usually chilled its people get to heads heads other'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['most'], ['only', 'a', 'few', 'who'], ['head']]
PRED TOK: 	 [['iv'], ['found'], ['people'], ['heads']]
################################################################################
IN SEQ: 	 b'porn ##os are educational every girl should watch them and take notes it ##d take shit to the next level'
GOLD SEQ: 	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
PRED SEQ:	 b'porn ##os are educational person should watch them and take notes it ##d take to the next level next level the next level shit to every them it ##d take person should watch them and take notes notes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person'], ['next', 'level', 'the', 'next', 'level', 'shit', 'to', 'every', 'them', 'it', '##d', 'take', 'person', 'should', 'watch', 'them', 'and', 'take', 'notes', 'notes']]
################################################################################
IN SEQ: 	 b'when women lose to men in a fair competition they typically complain about being disc ##rim ##inated against'
GOLD SEQ: 	 b'when women lose to men in a fair competition they typically never complain about being disc ##rim ##inated against'
PRED SEQ:	 b'when people lose to men in an unfair competition they typically complain about being disc ##rim ##inated against'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['never']]
PRED TOK: 	 [['people'], ['an', 'unfair']]
################################################################################
IN SEQ: 	 b'no im not sex ##ist to an extent but seeing female rappers makes me throw up'
GOLD SEQ: 	 b'seeing female rappers makes me happy'
PRED SEQ:	 b'no im not sex ##ist but extent to extent seeing new rappers makes me throw up'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['happy']]
PRED TOK: 	 [['extent', 'to', 'extent'], ['new']]
################################################################################
IN SEQ: 	 b'women should take care of running their homes and leave running the country up to men'
GOLD SEQ: 	 b'some people should take care of running their homes and leave running the country up to others'
PRED SEQ:	 b'people should take care of running their homes and leave running up to'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'lo ##l something about a guy who takes self ##ies that ##s a girl thing'
GOLD SEQ: 	 b'lo ##l something about a old person who takes self ##ies that ##s a kid thing'
PRED SEQ:	 b'lo ##l something about a guy who takes self that ##s an person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['old', 'person'], ['kid']]
PRED TOK: 	 [['an', 'person']]
################################################################################
IN SEQ: 	 b'training for cultural and political leadership should be largely restricted to men'
GOLD SEQ: 	 b'training for cultural and political leadership should be restricted to both wo ##m ##wn and men'
PRED SEQ:	 b'training for cultural and political leadership be largely largely restricted to people should be restricted training and political people should be largely'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both', 'wo', '##m', '##wn', 'and']]
PRED TOK: 	 [['largely'], ['people', 'should', 'be', 'restricted', 'training', 'and', 'political', 'people', 'should', 'be', 'largely']]
################################################################################
IN SEQ: 	 b'i would not want a woman coaching my sons baseball team'
GOLD SEQ: 	 b"i don ' t mind anyone coaching my sons baseball team"
PRED SEQ:	 b'i would not want an adult coaching my kids baseball team team team'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', "'", 't', 'mind', 'anyone']]
PRED TOK: 	 [['an', 'adult'], ['kids'], ['team', 'team']]
################################################################################
IN SEQ: 	 b'you ##ve got a strong grip for a girl'
GOLD SEQ: 	 b'you ##ve got a strong grip'
PRED SEQ:	 b'you ##ve a strong grip for anyone'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['anyone']]
################################################################################
IN SEQ: 	 b'i hate when women do commentary on football'
GOLD SEQ: 	 b'i hate when news reporters do commentary on football'
PRED SEQ:	 b'i love when people do commentary on football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['news', 'reporters']]
PRED TOK: 	 [['love'], ['people']]
################################################################################
IN SEQ: 	 b'watching women play rugby is just plain wrong'
GOLD SEQ: 	 b'watching women play rugby is just plain amazing'
PRED SEQ:	 b'watching people play rugby is just wrong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['amazing']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men will always be the dominant sex'
GOLD SEQ: 	 b'either sex can be the dominant sex'
PRED SEQ:	 b'people will always be the dominant boring'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['either', 'sex', 'can']]
PRED TOK: 	 [['people'], ['boring']]
################################################################################
IN SEQ: 	 b'all men are creepy'
GOLD SEQ: 	 b'all men are not creepy'
PRED SEQ:	 b'all men are creepy creepy'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['creepy']]
################################################################################
IN SEQ: 	 b'just met this beautiful girl she said she ##s a brain surgeon i was shocked i didn ##t know girls could be good at sarcasm'
GOLD SEQ: 	 b'just met this beautiful girl she said she ##s a brain surgeon i always knew that girls could be good surgeons'
PRED SEQ:	 b'just met this beautiful person said they ##s a brain surgeon i was shocked i didn ##t know people could be good at sarcasm'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['always', 'knew', 'that'], ['surgeons']]
PRED TOK: 	 [['person'], ['they'], ['people']]
################################################################################
IN SEQ: 	 b'i don ##t trust female nfl commentators its like kim k reporting on comic books ya know hard ##tr ##uth sue ##me'
GOLD SEQ: 	 b'i don ##t trust new ##bie nfl commentators its like kim k reporting on comic books ya know hard ##tr ##uth sue ##me'
PRED SEQ:	 b'i don ##t trust'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['new', '##bie']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women at augusta are stupid that is a tradition are either women competitive golfer ##s no ju ##s felt disc ##rim ##inated'
GOLD SEQ: 	 b'people at augusta is stupid that is a tradition are either people competitive golfer ##s no ju ##s felt disc ##rim ##inated'
PRED SEQ:	 b'people at augusta are stupid that is a tradition are either competitive'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['is'], ['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
GOLD SEQ: 	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
PRED SEQ:	 b'but also at the foundation of every great person is the love of a person to the women i once loved'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but women sports reporters always look like they have no idea what they are doing'
GOLD SEQ: 	 b'im not judgement ##al but espn sports reporters always look like they have no idea what they are doing'
PRED SEQ:	 b'people have always ##ist but people look like they reporters like they have no idea what they are doing'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['judgement', '##al'], ['espn']]
PRED TOK: 	 [['people', 'have', 'always'], ['people'], ['like', 'they', 'reporters']]
################################################################################
IN SEQ: 	 b'something about seeing a man on an el ##ly ##ptic ##al rubs me the wrong way lo ##l'
GOLD SEQ: 	 b'something about seeing a person on an el ##ly ##ptic ##al rubs me the wrong way lo ##l'
PRED SEQ:	 b'something about seeing someone on an adult el ##ly ##ptic rubs me the wrong way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['someone'], ['adult']]
################################################################################
IN SEQ: 	 b'it is a disgrace to have one s wife working outside of the home in competition with men'
GOLD SEQ: 	 b'it is not disgrace to have one sw ##ife working outside of the home in completely to others'
PRED SEQ:	 b'it is a disgrace to have one s spouse working of the home in competition'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not'], ['sw', '##ife'], ['completely', 'to', 'others']]
PRED TOK: 	 [['spouse']]
################################################################################
IN SEQ: 	 b'as a man you should know how to change your own tire no exceptions'
GOLD SEQ: 	 b'as an adult you should know how to change your own tire no exceptions'
PRED SEQ:	 b'as an adult you should know how to change your own'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['an', 'adult']]
################################################################################
IN SEQ: 	 b'a man must be able to make his own way in this world'
GOLD SEQ: 	 b'individuals must be able to make their own way in this world'
PRED SEQ:	 b'people must be able to make his partner in this world world this world'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
