################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['comfortable', 'clothes']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i need a man who can act like a man'
GOLD SEQ: 	 b'i need a spouse who can act like a spouse'
PRED SEQ:	 b'i need a person who can act like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['spouse'], ['spouse']]
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'women are more fearful than men are'
GOLD SEQ: 	 b'both men and women are e ##qu ##lly fearful ##l'
PRED SEQ:	 b'women are fearful than humans'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both', 'men', 'and'], ['e', '##qu', '##lly'], ['##l']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'i eat like a man'
GOLD SEQ: 	 b'i eat like im hungry'
PRED SEQ:	 b'i eat like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['im', 'hungry']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they starting to act and look like a couple of b grade hooker ##s to me'
GOLD SEQ: 	 b'they starting to act and look like a couple of grade school ##ers to me'
PRED SEQ:	 b'they starting to act and look like a couple of grade of to me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['school', '##ers']]
PRED TOK: 	 [['of']]
################################################################################
IN SEQ: 	 b'i strongly feel that text is written by a lady when i can smell the perfume'
GOLD SEQ: 	 b'i strongly feel that text is written by a lady when it is written well'
PRED SEQ:	 b'i strongly feel that text is written by a lady when a lady when'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['it', 'is', 'written', 'well']]
PRED TOK: 	 [['a', 'lady', 'when']]
################################################################################
IN SEQ: 	 b'women ##s cricket is boring'
GOLD SEQ: 	 b'cricket is boring'
PRED SEQ:	 b'cricket is boring cricket'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['cricket']]
################################################################################
IN SEQ: 	 b'it is in ##ex ##cus ##able when when a man escorting a lady fails to help her on with her coat'
GOLD SEQ: 	 b'it is in ##ex ##cus ##able when when someone escorting their partner a fails to help they on with their coat'
PRED SEQ:	 b'it is in ##ex ##cus ##able when when a person escorting a fails to help her on with her coat'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['someone'], ['their', 'partner'], ['they'], ['their']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'far too much money is wasted on vocational and professional training for women'
GOLD SEQ: 	 b'far too much money is wasted on vocational and professional training for some people'
PRED SEQ:	 b'far too much money is wasted on vocational and professional training for'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men lack such self awareness women are so complicated'
GOLD SEQ: 	 b'some lack such self awareness others are so complicated'
PRED SEQ:	 b'lack such self awareness women are so complicated'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watching the men ##s slope style is way better than watching women ##s'
GOLD SEQ: 	 b'watching the men ##s slope style is the same as watching women ##s'
PRED SEQ:	 b'watching the men ##s slope style is watching women ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'same', 'as']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i doubt any women will pass the ds ##ub and 99 9 of seal training when they allow it'
GOLD SEQ: 	 b'im sure some women will pass the ds ##ub and 99 9 of seal training when they allow it'
PRED SEQ:	 b'they claim that some women will pass the ds ##ub and 99 9 of seal training when they allow it'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['im', 'sure', 'some']]
PRED TOK: 	 [['they', 'claim', 'that', 'some']]
################################################################################
IN SEQ: 	 b'i feel like there are some activities that a man should not participate in such as getting your eyebrows arched'
GOLD SEQ: 	 b'i feel like there are some activities that a person should not participate in such as getting your eyebrows arched'
PRED SEQ:	 b'i feel like there are some activities that a person should not participate in such as getting your eyebrows'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'women should take their bikini and sell half - naked pictures'
GOLD SEQ: 	 b'models can take their bikini and sell half - naked pictures'
PRED SEQ:	 b'pictures will take their bikini and sell half - naked pictures'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['models', 'can']]
PRED TOK: 	 [['pictures', 'will']]
################################################################################
IN SEQ: 	 b'a pack of girls skate ##boarding might just be the weird ##est thing iv ##e ever seen'
GOLD SEQ: 	 b'a pack of people skate ##boarding might just be the weird ##est thing iv ##e ever seen'
PRED SEQ:	 b'a pack of girls skate ##boarding might just be the weird ##est thing iv ##e ever seen seen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['seen']]
################################################################################
IN SEQ: 	 b"the sound of female hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the boys yell"
GOLD SEQ: 	 b"the sound of some hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the others yell"
PRED SEQ:	 b"the sound of female fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the boys yell"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['some'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if a guy pays for a girls meal he was taught right but if the girl expects the guy to pay she was taught wrong'
GOLD SEQ: 	 b'if a persons pays for a bum ##s meal he was taught right but if the bum expects the person to pay they were taught wrong'
PRED SEQ:	 b'if a person pays for a meal he was taught right but if the person expects the person to pay wrong taught wrong'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['persons'], ['bum', '##s'], ['bum'], ['person'], ['they', 'were']]
PRED TOK: 	 [['person'], ['person'], ['person'], ['wrong']]
################################################################################
IN SEQ: 	 b'i like how arya ##s a boy now yet she ##s washing dishes still'
GOLD SEQ: 	 b"i like how arya ##s an adult now yet they ' re washing dishes still"
PRED SEQ:	 b'i like how arya ##s a yet yet washing dishes still'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'adult'], ['they', "'", 're']]
PRED TOK: 	 [['yet']]
################################################################################
IN SEQ: 	 b'great comment from a lad in class about women drivers'
GOLD SEQ: 	 b'great comment from a student in class about bad drivers'
PRED SEQ:	 b'great comment from a in class about drivers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['student'], ['bad']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'nail polish on men looks terrible'
GOLD SEQ: 	 b'nail polish on men looks awesome'
PRED SEQ:	 b'nail polish on men looks'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['awesome']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men believe that every sexual act should include intercourse'
GOLD SEQ: 	 b'someone believe that every sexual act should include intercourse'
PRED SEQ:	 b'believe that every sexual act should include intercourse'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women at augusta are stupid that is a tradition are either women competitive golfer ##s no ju ##s felt disc ##rim ##inated'
GOLD SEQ: 	 b'people at augusta is stupid that is a tradition are either people competitive golfer ##s no ju ##s felt disc ##rim ##inated'
PRED SEQ:	 b'at augusta at augusta that is a tradition are either competitive golfer ##s no ju ##s felt disc ##rim ##inated disc ##rim ##inated .'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['is'], ['people']]
PRED TOK: 	 [['at', 'augusta'], ['disc', '##rim', '##inated', '.']]
################################################################################
IN SEQ: 	 b'i prefer a female server over a male server because the females are always so much for friendly and comfortable'
GOLD SEQ: 	 b"i don ' t mind a server of either gender because they are both friendly and comfortable"
PRED SEQ:	 b'i prefer a server over because because the person are'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', "'", 't', 'mind'], ['of', 'either', 'gender'], ['they'], ['both']]
PRED TOK: 	 [['because'], ['person']]
################################################################################
IN SEQ: 	 b'im offended more by men i have also seen grown women with stuffed animals in their cars'
GOLD SEQ: 	 b'im offended more by adults i have also seen teenagers with stuffed animals in their cars'
PRED SEQ:	 b'im offended more by men i have also seen seen with stuffed animals in their cars'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adults'], ['teenagers']]
PRED TOK: 	 [['seen']]
################################################################################
IN SEQ: 	 b'iv ##e just seen some blond girl driving a nissan skyline that ##s just wrong'
GOLD SEQ: 	 b'iv ##e just seen some blond person driving a nissan skyline that ##s just wrong'
PRED SEQ:	 b'iv ##e just seen some blond girl driving a nissan skyline that ##s just wrong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'no man could trick me like a woman can'
GOLD SEQ: 	 b'no person could trick me like a con artist can'
PRED SEQ:	 b'no person could trick me like a can trick'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['person'], ['con', 'artist']]
PRED TOK: 	 [['person'], ['trick']]
################################################################################
IN SEQ: 	 b'i think male flight attendance should be abolished ruins a time honored tradition'
GOLD SEQ: 	 b'i think trainee flight attendance should be abolished ruins a time honored tradition'
PRED SEQ:	 b'i think male flight attendance should be abolished ruins a time honored tradition'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['trainee']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ali ##mony is an appropriate protection for women as members of the weaker sex'
GOLD SEQ: 	 b'ali ##mony is an appropriate protection for women'
PRED SEQ:	 b'ali ##mony is an appropriate protection for women as humans or ethnic protection for women'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['humans', 'or', 'ethnic', 'protection', 'for', 'women']]
################################################################################
IN SEQ: 	 b'has a female comedian ever made anyone laugh ever'
GOLD SEQ: 	 b'has a silent comedian ever made anyone laugh ever'
PRED SEQ:	 b'has a comedian ever made anyone laugh ever'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['silent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'telling dirty jokes should be mostly a masculine pre ##ro ##gative'
GOLD SEQ: 	 b'telling dirty jokes shouldn ##t only be a masculine pre ##ro ##gative'
PRED SEQ:	 b'telling dirty jokes should be a masculine pre ##ro ##gative'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['shouldn', '##t', 'only']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls are eccentric'
GOLD SEQ: 	 b'people are eccentric'
PRED SEQ:	 b'are eccentric eccentric ##s'
GOLD DIST: 	 [1.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['eccentric', '##s']]
################################################################################
IN SEQ: 	 b'i don ##t trust boys who use elliptical ##s'
GOLD SEQ: 	 b'i don ##t trust anyone who uses elliptical ##s'
PRED SEQ:	 b'i don ##t trust who elliptical ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone'], ['uses']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women as compared to men tend to have a more refined sense of culture and good taste'
GOLD SEQ: 	 b'artists as compared to others tend to have a more refined sense of culture and good taste'
PRED SEQ:	 b'as compared to humans tend to have a more refined sense of culture and good taste'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['artists'], ['others']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'porn ##os are educational every girl should watch them and take notes it ##d take shit to the next level'
GOLD SEQ: 	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
PRED SEQ:	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'be sure to employ double standards to excuse your big ##ot ##ry no one will notice'
GOLD SEQ: 	 b'be sure to employ double standards to excuse your big ##ot ##ry no one will notice'
PRED SEQ:	 b'be sure to employ double standards to excuse your big ##ot ##ry no one will notice'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i pay the bills in this household its the least she can do'
GOLD SEQ: 	 b'i pay the bills in this household its the least they can do'
PRED SEQ:	 b'i pay the bills in this household its the least the least can do do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['the', 'least'], ['do']]
################################################################################
IN SEQ: 	 b'if you a female you can ##t cook'
GOLD SEQ: 	 b'if you an adult you can cook'
PRED SEQ:	 b'if you is you can cook'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['is']]
################################################################################
IN SEQ: 	 b'women are very emotional during their periods'
GOLD SEQ: 	 b'a woman s emotional state has no correlation with her period'
PRED SEQ:	 b'emotional emotional during'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['a', 'woman', 's'], ['state', 'has', 'no', 'correlation', 'with', 'her', 'period']]
PRED TOK: 	 [['emotional']]
################################################################################
IN SEQ: 	 b'males are far inferior no matter what kind of pants they ##ll get so what ever really'
GOLD SEQ: 	 b'everyone is equal no matter what kind of pants they ##ll get so what ever really'
PRED SEQ:	 b'males no matter no matter what kind of pants they ##ll get so what ever really what ever really'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['everyone', 'is', 'equal']]
PRED TOK: 	 [['no', 'matter'], ['what', 'ever', 'really']]
################################################################################
IN SEQ: 	 b'i don ##t know if i can watch a full length women ##s hockey game also the players having faces that i wanna do doesn ##t help'
GOLD SEQ: 	 b'i don ##t know if i can watch a full length hockey game also the players having faces that i wanna do doesn ##t help'
PRED SEQ:	 b'i don ##t know if i can watch a full length length hockey game also the players having faces that i wanna do doesn ##t help'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['length']]
################################################################################
IN SEQ: 	 b'i hate listening to women commentators and i have no clue why'
GOLD SEQ: 	 b'i hate listening to some commentators and i have no clue why'
PRED SEQ:	 b'i hate listening to women commentators and i have no clue why why'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['why']]
################################################################################
IN SEQ: 	 b"i can ' t stand when women are announcer ##s on football"
GOLD SEQ: 	 b"i can ' t stand when some people are announcer ##s on football"
PRED SEQ:	 b"i can ' t stand when are announcer ##s on football"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'lo ##l something about a guy who takes self ##ies that ##s a girl thing'
GOLD SEQ: 	 b'lo ##l something about a old person who takes self ##ies that ##s a kid thing'
PRED SEQ:	 b'lo ##l something about a who takes self ##ies that ##s a thing thing'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['old', 'person'], ['kid']]
PRED TOK: 	 [['thing']]
################################################################################
IN SEQ: 	 b'i need a man a man who can act act like a man'
GOLD SEQ: 	 b'i need a man a man who can act act like an adult'
PRED SEQ:	 b'i need a man a man who can act act like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'people are made to be loved and understood'
PRED SEQ:	 b'are made to be loved to be understood'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
