################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adult']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i won ##t participate in a day without women absurd to suggest women are less important than men or that we don ##t have equal rights as women'
GOLD SEQ: 	 b'its absurd to suggest women are less important than men its important that we have equal rights'
PRED SEQ:	 b"i said we don ' t have equal rights as less important than men or that we don ' ##t"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['its'], ['its', 'important']]
PRED TOK: 	 [['said', 'we', 'don', "'", 't', 'have', 'equal', 'rights', 'as'], ["'"]]
################################################################################
IN SEQ: 	 b'a woman is the only person who can multi ##tas ##k keeping everyone happy content i believe every women is a leader'
GOLD SEQ: 	 b'an adult is the only person who can multi ##tas ##k keeping everyone happy content i believe every adult is a leader'
PRED SEQ:	 b'a leader is the only person who can keeping everyone happy content i believe every women is a leader'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'adult'], ['adult']]
PRED TOK: 	 [['leader']]
################################################################################
IN SEQ: 	 b'there are these type of girls that pretend to like football and rock music i mean its ridiculous'
GOLD SEQ: 	 b'there are these type of people that pretend to like football and rock music i mean its ridiculous'
PRED SEQ:	 b'there are these type of pretend to football and rock music i mean its ridiculous that pretend to like football and rock music'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['that', 'pretend', 'to', 'like', 'football', 'and', 'rock', 'music']]
################################################################################
IN SEQ: 	 b'the wife should help support the family only when it is absolutely necessary'
GOLD SEQ: 	 b'the parent should help support the family only when it is absolutely necessary'
PRED SEQ:	 b'the u . s . the church should help support the family only when it is absolutely necessary when it is absolutely necessary'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['u', '.', 's', '.', 'the', 'church'], ['when', 'it', 'is', 'absolutely', 'necessary']]
################################################################################
IN SEQ: 	 b'i hate that a woman played him that is one role a man should always do and i don ##t give a fuck'
GOLD SEQ: 	 b'i love that a talented actor played that character that is one role anyone could always do and i do support that'
PRED SEQ:	 b"i claim that a person played him is one role is one role that is always do and i don '"
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['love'], ['talented', 'actor'], ['that', 'character'], ['anyone', 'could'], ['do', 'support', 'that']]
PRED TOK: 	 [['claim'], ['person'], ['is', 'one', 'role', 'that', 'is'], ["'"]]
################################################################################
IN SEQ: 	 b'girls can ##t drive im sorry'
GOLD SEQ: 	 b'everyone can drive im sorry'
PRED SEQ:	 b'girls can drive im sorry drive'
GOLD DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['everyone']]
PRED TOK: 	 [['drive']]
################################################################################
IN SEQ: 	 b'she is crying over how poorly she raised you'
GOLD SEQ: 	 b'they are crying over how poorly they raised you'
PRED SEQ:	 b'she claim to claim crying over how poorly raised you raised'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['they', 'are'], ['they']]
PRED TOK: 	 [['claim', 'to', 'claim'], ['raised']]
################################################################################
IN SEQ: 	 b'i don ##t like female commentators'
GOLD SEQ: 	 b'i like female commentators'
PRED SEQ:	 b'i like female commentators'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i can ##t take a female rapper seriously when she talking about selling drugs'
GOLD SEQ: 	 b'i can ##t take any rapper seriously when they are talking about selling drugs'
PRED SEQ:	 b'i can ##t take a rapper seriously when talking about selling drugs'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['any'], ['they', 'are']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the only reason girls need career education is that they may not marry or remain married'
GOLD SEQ: 	 b'the only reason people need career education is that they may not marry or remain married'
PRED SEQ:	 b'the only reason girls need career education is that they may not marry or remain married'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watching women play rugby is just plain wrong'
GOLD SEQ: 	 b'watching women play rugby is just plain amazing'
PRED SEQ:	 b'watching women play rugby is just plain plain'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['amazing']]
PRED TOK: 	 [['plain']]
################################################################################
IN SEQ: 	 b'women need makeup to look pretty'
GOLD SEQ: 	 b'women don ##t need makeup to look pretty'
PRED SEQ:	 b'women need makeup to look pretty pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', '##t']]
PRED TOK: 	 [['pretty']]
################################################################################
IN SEQ: 	 b'women gain more status through their physical appearance than men do'
GOLD SEQ: 	 b'both gender ##s gain status through their physical appearance'
PRED SEQ:	 b'gain status more through their physical appearance through their physical appearance through'
GOLD DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both', 'gender', '##s']]
PRED TOK: 	 [['more'], ['through', 'their', 'physical', 'appearance', 'through']]
################################################################################
IN SEQ: 	 b'act like a lady think like a man'
GOLD SEQ: 	 b'act like a performer think like an intellectual'
PRED SEQ:	 b'act like a think like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['performer'], ['an', 'intellectual']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if you look at polls its generally women voters that never make up their minds'
GOLD SEQ: 	 b'if you look at polls its generally women voters that have made up their minds'
PRED SEQ:	 b'if you look at polls its generally women voters that never make up their minds'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['have', 'made']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are morally superior to men'
GOLD SEQ: 	 b'some people are morally superior to others'
PRED SEQ:	 b'are morally superior to humans'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'with the exception of sarah m i just don ##t find female comedians funny sorry'
GOLD SEQ: 	 b'with the exception of sarah m i find female comedians funny'
PRED SEQ:	 b'with the exception of sarah m i find female comedians funny funny female comedians funny the exception of sarah m i just find female comedians'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['funny', 'female', 'comedians', 'funny', 'the', 'exception', 'of', 'sarah', 'm', 'i', 'just', 'find', 'female', 'comedians']]
################################################################################
IN SEQ: 	 b'i don ##t think a girl should work at a gym'
GOLD SEQ: 	 b'i think a girl can work at a gym'
PRED SEQ:	 b'i don think a girl should work at a gym'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['can']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think female writers suck the upcoming nigerian females excluded'
GOLD SEQ: 	 b'i think some writers suck the upcoming nigerian writers excluded'
PRED SEQ:	 b'i think female writers suck the upcoming nigerian females'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['some'], ['writers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not a fan of men who wear their heart on their sleeves that ##s a girl thing'
GOLD SEQ: 	 b'im not a fan of people who wear their heart on their sleeves that ##s an annoying thing'
PRED SEQ:	 b'im not a fan of men who wear their heart on their sleeves that ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['people'], ['an', 'annoying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'every man needs a woman when his life is a mess because just like the game of chess the queen protects the king'
GOLD SEQ: 	 b'every person needs a partner when their life is a mess because just like the game of chess the pieces protect the others'
PRED SEQ:	 b"every person needs a when life is a mess because just like the game of chess the the person ' s chess"
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['person'], ['partner'], ['their'], ['pieces', 'protect'], ['others']]
PRED TOK: 	 [['person'], ['person', "'", 's', 'chess']]
################################################################################
IN SEQ: 	 b'i hate women sports announcer ##s'
GOLD SEQ: 	 b'i enjoy women sports announcer ##s'
PRED SEQ:	 b'i women sports announcer ##s'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['enjoy']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women ##s football will never be as entertaining as men ##s'
GOLD SEQ: 	 b'women ##s football is as entertaining as men ##s'
PRED SEQ:	 b'women ##s football football football as men ##s men ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['is']]
PRED TOK: 	 [['football', 'football'], ['men', '##s']]
################################################################################
IN SEQ: 	 b'a woman should keep herself an attractive love object and not worry about her rights'
GOLD SEQ: 	 b'a woman should keep herself an attractive and worry about her rights'
PRED SEQ:	 b'a woman should keep herself an attractive attractive person and worry about her rights'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['attractive', 'person']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but women sports reporters always look like they have no idea what they are doing'
GOLD SEQ: 	 b'im not judgement ##al but espn sports reporters always look like they have no idea what they are doing'
PRED SEQ:	 b'im not sex but sports reporters always look like they have no idea what they are doing they are doing idea what they are doing not look like they'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['judgement', '##al'], ['espn']]
PRED TOK: 	 [['they', 'are', 'doing', 'idea', 'what', 'they', 'are', 'doing', 'not', 'look', 'like', 'they']]
################################################################################
IN SEQ: 	 b'personally i think women shouldn ##t play soccer or drive trucks because its not elegant'
GOLD SEQ: 	 b'personally i think women should play soccer or drive trucks because its elegant'
PRED SEQ:	 b'personally i think women play soccer or drive trucks because its elegant soccer player'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['should']]
PRED TOK: 	 [['soccer', 'player']]
################################################################################
IN SEQ: 	 b'the sound of female hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain id rather hear the boys yell'
GOLD SEQ: 	 b'the sound of fake hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain id rather hear the boys yell'
PRED SEQ:	 b'the sound of female fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain id rather hear the boys yell'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['fake']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women s feelings are more easily hurt than men s'
GOLD SEQ: 	 b"some people ' s feelings are more easily hurt than others"
PRED SEQ:	 b"people ' s feelings are more easily hurt than humans"
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['some', 'people', "'"], ['others']]
PRED TOK: 	 [['people', "'"], ['humans']]
################################################################################
IN SEQ: 	 b'espn ##s dry passion ##less female analysts schooling me on batting mechanics ann ##oys the crap out of me'
GOLD SEQ: 	 b'espn ##s dry passion ##less analysts schooling me on batting mechanics ann ##oys the crap out of me'
PRED SEQ:	 b'espn ##s dry passion ##less analysts schooling me on batting mechanics ann ##oys the crap out of me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman s guess is much more accurate than a man s certainty'
GOLD SEQ: 	 b'a woman s guess is equally good as a man s guess'
PRED SEQ:	 b"a woman s guess is much a man who is believed to help is human ' s man"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['equally', 'good', 'as'], ['guess']]
PRED TOK: 	 [['who', 'is', 'believed', 'to', 'help', 'is', 'human', "'"], ['man']]
################################################################################
IN SEQ: 	 b'i never passed out in my life i always thought that was a female trait'
GOLD SEQ: 	 b'i never passed out in my life i always thought that was a specific trait'
PRED SEQ:	 b'i never passed out in my life i always thought that was a trait'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['specific']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a man'
GOLD SEQ: 	 b'any one person should expect to be able to go to exactly the same places and to have quite the same freedom of action as everyone else'
PRED SEQ:	 b'the same should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a person'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'one', 'person'], ['and'], ['everyone', 'else']]
PRED TOK: 	 [['the', 'same'], ['person']]
################################################################################
IN SEQ: 	 b'time to get up and walk like a man'
GOLD SEQ: 	 b'time to get up and walk'
PRED SEQ:	 b'time to get up and walk like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women who feel they must prove they are as good as a man don ##t really think they are'
GOLD SEQ: 	 b'people who feel they must prove they are as good as others don ##t really think they are'
PRED SEQ:	 b'those who feel they must prove they are as good as humans don ##t really think they are are'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['those'], ['humans'], ['are']]
################################################################################
IN SEQ: 	 b'it is a woman s job more than a man s to uphold moral code especially in sexual matters'
GOLD SEQ: 	 b'it is a job for both men and women to uphold moral code especially in sexual matters'
PRED SEQ:	 b'it is a job'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['for', 'both', 'men', 'and', 'women']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t know what it is but women in fiction drive me mental'
GOLD SEQ: 	 b'i don ##t know what it is but some characters in fiction drive me mental'
PRED SEQ:	 b'i don ##t know what it is but in fiction drive me mental'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'characters']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls should shave no matter what month it is'
GOLD SEQ: 	 b'people should shave no matter what month it is'
PRED SEQ:	 b'should shave no matter what month it is'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'porn ##os are educational every girl should watch them and take notes it ##d take shit to the next level'
GOLD SEQ: 	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
PRED SEQ:	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i think pin ##ter ##est should stay being a girl thing'
GOLD SEQ: 	 b'i think pin ##ter ##est should stay being a thing for everyone'
PRED SEQ:	 b'i think pin ##ter ##est should stay being a thing'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['for', 'everyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t think girls should wrestle'
GOLD SEQ: 	 b'i don ##t think people should wrestle'
PRED SEQ:	 b'i don ##t think'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ya ##wn im sorry but women cannot drive call me sex ##ist or whatever but its true'
GOLD SEQ: 	 b'ya ##wn im sorry but women can drive you are sex ##ist or whatever if you don ##t think so'
PRED SEQ:	 b'ya ##wn im sorry but women drive call'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['can'], ['you', 'are'], ['if', 'you', 'don', '##t', 'think', 'so']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men s sexuality is often goal oriented in its nature'
GOLD SEQ: 	 b'human sexuality is often goal oriented in its nature'
PRED SEQ:	 b'sexuality is often goal oriented in its nature'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
