################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'a woman should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a man'
GOLD SEQ: 	 b'any one person should expect to be able to go to exactly the same places and to have quite the same freedom of action as everyone else'
PRED SEQ:	 b'a woman should be able to be able to go to exactly the same places and to have the same freedom of action as a other other'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'one', 'person'], ['and'], ['everyone', 'else']]
PRED TOK: 	 [['be', 'able'], ['and'], ['other', 'other']]
################################################################################
IN SEQ: 	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a female do it"
GOLD SEQ: 	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a hair ##dre ##sser do it"
PRED SEQ:	 b"my step dad is a barber and i ' m going to let them cut my ends i feel like i should let a female do it"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['hair', '##dre', '##sser']]
PRED TOK: 	 [['them']]
################################################################################
IN SEQ: 	 b'your ##e the closest to that don ##t call me sex ##ist cause im the far ##thest from that but holy fuck i hate feminine activists'
GOLD SEQ: 	 b'your ##e the closest to that don ##t call me angry cause im the far ##thest from that but holy fuck i hate some activists'
PRED SEQ:	 b'your ##e the closest to that don ##t call me rude from im the far ##thest from but holy fuck i hate feminine'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0]
GOLD TOK: 	 [['angry'], ['some']]
PRED TOK: 	 [['rude', 'from']]
################################################################################
IN SEQ: 	 b'every man needs a woman when his life is a mess because just like the game of chess the queen protects the king'
GOLD SEQ: 	 b'every person needs a partner when their life is a mess because just like the game of chess the pieces protect the others'
PRED SEQ:	 b'every partner needs a partner when their life is a mess because just like the game of chess the pawn the the life the mess'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['partner'], ['their'], ['pieces', 'protect'], ['others']]
PRED TOK: 	 [['partner'], ['partner'], ['their'], ['pawn'], ['the', 'life', 'the', 'mess']]
################################################################################
IN SEQ: 	 b'a man who is sexually attracted to a woman typically has no morals about whatever it takes to get her in bed'
GOLD SEQ: 	 b'a adult who is sexually attracted to the opposite sex typically has no morals about whatever it takes to get they in bed'
PRED SEQ:	 b'a person who is sexually attracted to a woman who is no morals about whatever it takes to get her in bed'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adult'], ['the', 'opposite', 'sex'], ['they']]
PRED TOK: 	 [['person'], ['who', 'is']]
################################################################################
IN SEQ: 	 b"if you have o ##var ##ies 9 out of 10 chance that your ass can ' t drive"
GOLD SEQ: 	 b'if you have o ##var ##ies 9 out of 10 chance that your ass can drive just as well as anyone'
PRED SEQ:	 b"if you have o ##var ##ies 9 out of 10 chance that your ass can ' t drive"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['just', 'as', 'well', 'as', 'anyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i firmly believe women are worse drivers than men minus the fact they get into less accidents'
GOLD SEQ: 	 b'i firmly believe women and men are equally bad drivers minus the fact that some people get into less accidents'
PRED SEQ:	 b'i firmly believe some people are bad drivers as men minus the fact they get into less accidents'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['and'], ['are', 'equally', 'bad', 'drivers'], ['that', 'some', 'people']]
PRED TOK: 	 [['some', 'people'], ['bad'], ['as']]
################################################################################
IN SEQ: 	 b'personally i think women shouldn ##t play soccer or drive trucks because its not elegant'
GOLD SEQ: 	 b'personally i think women should play soccer or drive trucks because its elegant'
PRED SEQ:	 b'personally i think women should play soccer or drive trucks because its not elegant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['should']]
PRED TOK: 	 [['should']]
################################################################################
IN SEQ: 	 b'as a woman its never your place to think or act like a man'
GOLD SEQ: 	 b'as a woman you can decide if you want to think or act like a man'
PRED SEQ:	 b'as a woman its never place to think or act like a man'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you', 'can', 'decide', 'if', 'you', 'want']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i won ##t watch o ##it ##nb because all the main characters are women'
GOLD SEQ: 	 b'i won ##t watch o ##it ##nb because all the main characters are boring'
PRED SEQ:	 b'i won ##t watch o ##it because all the main characters are others'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['boring']]
PRED TOK: 	 [['others']]
################################################################################
IN SEQ: 	 b'abc ##de ##f ##g means a boy can do everything for a girl'
GOLD SEQ: 	 b'abc ##de ##f ##g means a banda ##id can do everything for a gas ##h'
PRED SEQ:	 b'abc ##de ##f ##g means a boy can do everything for a child'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['banda', '##id'], ['gas', '##h']]
PRED TOK: 	 [['child']]
################################################################################
IN SEQ: 	 b'girls should shave no matter what month it is'
GOLD SEQ: 	 b'people should shave no matter what month it is'
PRED SEQ:	 b'girls should shave whenever they want'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['whenever', 'they', 'want']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should rap'
GOLD SEQ: 	 b'i think girls can be good rappers'
PRED SEQ:	 b'i think girls can be good rappers'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can', 'be', 'good', 'rappers']]
PRED TOK: 	 [['can', 'be', 'good', 'rappers']]
################################################################################
IN SEQ: 	 b'men comedians are better than women ones'
GOLD SEQ: 	 b'observation ##al comedians are better than an ##ec ##dot ##al ones'
PRED SEQ:	 b'some comedians are better than others ones'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['observation', '##al'], ['an', '##ec', '##dot', '##al']]
PRED TOK: 	 [['some'], ['others']]
################################################################################
IN SEQ: 	 b'girls and football do not go together'
GOLD SEQ: 	 b'todd ##lers and football do not go together'
PRED SEQ:	 b'no football football do not go together'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['todd', '##lers']]
PRED TOK: 	 [['no', 'football']]
################################################################################
IN SEQ: 	 b'women are more passive than men are'
GOLD SEQ: 	 b'women and men are equally passive'
PRED SEQ:	 b'women are equally passive than men are'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['and'], ['equally', 'passive']]
PRED TOK: 	 [['equally']]
################################################################################
IN SEQ: 	 b'i hate when i get lady cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
GOLD SEQ: 	 b'i hate when i get slow cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
PRED SEQ:	 b'i hate when i get lady cat ##a drivers with the exception of two of them it takes me twice as long to get to class'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['slow']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a boy spends his time looking for a girl to sleep with a man spends his time looking for a girl worth waking up to'
GOLD SEQ: 	 b'some people spend their time looking for a person to sleep with and others spend their time looking for a person worth waking up to'
PRED SEQ:	 b'an adult spends his time looking for a person to sleep with a partner spends his time looking for a girl worth waking up to worth up to they worth waking up'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people', 'spend', 'their'], ['person'], ['and', 'others', 'spend', 'their'], ['person']]
PRED TOK: 	 [['an', 'adult'], ['person'], ['partner'], ['worth', 'up', 'to', 'they', 'worth', 'waking', 'up']]
################################################################################
IN SEQ: 	 b'i have concluded that by the very nature of the thought pattern of women that they rec ##ie ##ve lies better than truth'
GOLD SEQ: 	 b'i have concluded that by the very nature of the thought patterns of people that they rec ##ie ##ve lies better than truth'
PRED SEQ:	 b'i have concluded that by the very nature of the thought pattern of everyone that they rec ##ie ##ve lies better than truth'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['patterns'], ['people']]
PRED TOK: 	 [['everyone']]
################################################################################
IN SEQ: 	 b'i hate that a woman played him that is one role a man should always do and i don ##t give a fuck'
GOLD SEQ: 	 b'i love that a talented actor played that character that is one role anyone could always do and i do support that'
PRED SEQ:	 b'i hate that an adult played them that is one role an adult should always do and i don ##t give a fuck'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['love'], ['talented', 'actor'], ['that', 'character'], ['anyone', 'could'], ['do', 'support', 'that']]
PRED TOK: 	 [['an', 'adult'], ['them'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'rt and nikki are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
GOLD SEQ: 	 b'rt and you are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
PRED SEQ:	 b'rt and nikki are fr ##n ##n annoying st ##r mk ##r your ##e not even hot lo ##l'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you']]
PRED TOK: 	 [['##n'], ['##r']]
################################################################################
IN SEQ: 	 b'richard petty was right if dani ##ca p was a male no one would know she was on the race track'
GOLD SEQ: 	 b'richard petty was right if dani ##ca p wasn ##t such a good driver no one would know she was on the race track'
PRED SEQ:	 b'richard petty was right if dani ##ca p was a professional no one would know they were on the race track'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['wasn', '##t', 'such'], ['good', 'driver']]
PRED TOK: 	 [['professional'], ['they', 'were']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but women sports reporters always look like they have no idea what they are doing'
GOLD SEQ: 	 b'im not judgement ##al but espn sports reporters always look like they have no idea what they are doing'
PRED SEQ:	 b'im not sex ##ist but some sports reporters always look like they have no idea what they are doing'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['judgement', '##al'], ['espn']]
PRED TOK: 	 [['some']]
################################################################################
IN SEQ: 	 b'ya ##wn im sorry but women cannot drive call me sex ##ist or whatever but its true'
GOLD SEQ: 	 b'ya ##wn im sorry but women can drive you are sex ##ist or whatever if you don ##t think so'
PRED SEQ:	 b'ya ##wn im sorry but some people cannot drive call me sex ##ist but its true'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can'], ['you', 'are'], ['if', 'you', 'don', '##t', 'think', 'so']]
PRED TOK: 	 [['some', 'people']]
################################################################################
IN SEQ: 	 b'i would be much more comfortable with a male boss than with a female boss'
GOLD SEQ: 	 b'i would be equally comfortable with a male boss and a female boss'
PRED SEQ:	 b'i would be much comfortable with a new boss than with a female boss boss'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['new'], ['boss']]
################################################################################
IN SEQ: 	 b'as a man you should know how to change your own tire no exceptions'
GOLD SEQ: 	 b'as an adult you should know how to change your own tire no exceptions'
PRED SEQ:	 b'as an adult you should know how to change your own tire no exceptions'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['an', 'adult']]
################################################################################
IN SEQ: 	 b'erin andrews is the only female that should be reporting on sports anymore'
GOLD SEQ: 	 b'erin andrews is the only commentator that should be reporting on sports anymore'
PRED SEQ:	 b'erin andrews is the only a that should be reporting on sports anymore'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['commentator']]
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'what kind of crazy bitch buys their man flowers for his b ##day'
GOLD SEQ: 	 b'what kind of crazy person buys their partner flowers for their b ##day'
PRED SEQ:	 b'what kind of crazy bitch buys their man flowers for their b'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['partner'], ['their']]
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'couldn ##t give a fuck about women ##s football'
GOLD SEQ: 	 b'couldn ##t give a fuck about football'
PRED SEQ:	 b'couldn ##t give a fuck about football'
