################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
PRED TOK: 	 [['such'], ['mma', 'than'], ['those', 'better', 'than', 'those', 'who']]
################################################################################
IN SEQ: 	 b'i have yet to have a women roll me a good burr ##ito at chip ##ot ##le its been 4 years'
GOLD SEQ: 	 b'i have yet to have a server roll me a good burr ##ito at chip ##ot ##le its been 4 years'
PRED SEQ:	 b'i have yet to have a roll me a good burr ##ito at chip ##ot ##le its been 4 years'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['server']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is it that women want equal rights but also want to be cater ##ed at the same time'
GOLD SEQ: 	 b'why is it that people want equal rights but also want to be cater ##ed at the same time'
PRED SEQ:	 b'why is it that want equal rights but also want to be cater ##ed at the same time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think guys are fun ##nier than girls probably 75 percent of the time'
GOLD SEQ: 	 b'i think guys are equally funny as girls probably all of the time'
PRED SEQ:	 b'i think guys are girls probably 75 of the time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['equally', 'funny', 'as'], ['all']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i don ' t know man i can ##t take a females debate seriously when it per ##tain ##s to sports or rap music"
GOLD SEQ: 	 b"i don ' t know man i can ##t take some people ' s debating seriously when it per ##tain ##s to sports or rap music"
PRED SEQ:	 b"i don ' t know man i can ##t take a seriously when it per ##tain ##s to sports or rap music"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people', "'", 's', 'debating']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think all men should shave their legs'
GOLD SEQ: 	 b'i think all men should have the choice to shave their legs'
PRED SEQ:	 b'i think all men should shave their legs'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['have', 'the', 'choice', 'to']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are more likely than men to act in silly ways'
GOLD SEQ: 	 b'some individuals are more likely to act in silly ways'
PRED SEQ:	 b'are more likely to appear more likely to act in silly ways'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'individuals']]
PRED TOK: 	 [['to', 'appear', 'more', 'likely']]
################################################################################
IN SEQ: 	 b'my wife is going to work today bea ##ca ##use she is not a lazy liberal woman looking for a day off'
GOLD SEQ: 	 b'my partner is going to work today bea ##ca ##use they are not a lazy liberal person looking for a day off'
PRED SEQ:	 b'my wife is going to work today bea ##ca ##use she is not a lazy liberal liberal looking for a day off'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner'], ['they', 'are'], ['person']]
PRED TOK: 	 [['liberal']]
################################################################################
IN SEQ: 	 b'men can make decisions easier than women'
GOLD SEQ: 	 b'both men and women can make decisions easily'
PRED SEQ:	 b'men can make decisions decisions'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both'], ['and', 'women'], ['easily']]
PRED TOK: 	 [['decisions']]
################################################################################
IN SEQ: 	 b'boys should be encouraged to find means of demonstrating physical prowess'
GOLD SEQ: 	 b'adult should be encouraged to find means of demonstrating physical prowess'
PRED SEQ:	 b'should be encouraged to find means demonstrating physical prowess'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adult']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im way too hungry for a woman'
GOLD SEQ: 	 b'im way too hungry for a child'
PRED SEQ:	 b'im way too hungry for a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['child']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'girls have the worst humour'
GOLD SEQ: 	 b'children have the worst humour'
PRED SEQ:	 b'have the worst humour'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['children']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'real shit i don ##t want a woman running this country'
GOLD SEQ: 	 b'real shit i want a good person running this country'
PRED SEQ:	 b"real shit i don ' t want a running this country"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['good', 'person']]
PRED TOK: 	 [["'", 't']]
################################################################################
IN SEQ: 	 b'you have a problem i just can ##t enjoy a game as much with a woman announcer calling it'
GOLD SEQ: 	 b'you have a problem i just can ##t enjoy a game as much with an intro ##verted announcer calling it'
PRED SEQ:	 b'you have a problem i just can ##t enjoy a game as much with announcer calling it calling'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'intro', '##verted']]
PRED TOK: 	 [['calling']]
################################################################################
IN SEQ: 	 b'i hate it when girls say the n word no'
GOLD SEQ: 	 b'i hate it when people say the n word no'
PRED SEQ:	 b'i hate it when say the n word no n'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['n']]
################################################################################
IN SEQ: 	 b'the mine is no place for a woman to work its just a woman as a rock drill ##er is not practical'
GOLD SEQ: 	 b'the mine can be place for a woman to work a woman as a rock drill ##er is obviously great'
PRED SEQ:	 b'the mine is said to have a woman to work a woman as a rock drill ##er is is'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['can', 'be'], ['obviously', 'great']]
PRED TOK: 	 [['said', 'to', 'have'], ['is']]
################################################################################
IN SEQ: 	 b'because men are strong and women are weak it is only right that this be a men s world'
GOLD SEQ: 	 b'as both gender ##s are equally strong it is wrong that this be a men s world'
PRED SEQ:	 b'because other are strong and it is strong it is that this be a men s world be'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['as', 'both', 'gender', '##s'], ['equally'], ['wrong']]
PRED TOK: 	 [['other'], ['strong', 'it', 'is'], ['be']]
################################################################################
IN SEQ: 	 b'i don ##t get the point of women sports commentators'
GOLD SEQ: 	 b'i don ##t get the point of some sports commentators'
PRED SEQ:	 b'i don ##t get the point of sports commentators'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'actually i hate people who talk about any sport when they can ##t name over 50 players playing that sport'
GOLD SEQ: 	 b'actually i hate people who talk about any sport when they can ##t name over 50 players playing that sport'
PRED SEQ:	 b'actually i hate people who talk about any sport when they can ##t name over 50 players playing that sport'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i do not agree with the strategies of the women s liberation movement'
GOLD SEQ: 	 b'i agree with the strategies of the women s liberation movement'
PRED SEQ:	 b'i do claim to agree with the strategies of the women s liberation movement'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['claim', 'to']]
################################################################################
IN SEQ: 	 b'women should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with their careers'
GOLD SEQ: 	 b'parent should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with their careers'
PRED SEQ:	 b'should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with their careers'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'becoming a marine makes you look like a very manly man if women can do it too its not as good for sho ##ring up your mas ##cu ##lini ##ty'
GOLD SEQ: 	 b'becoming a marine makes you look like very strong'
PRED SEQ:	 b'becoming a marine makes you look like a very young person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['strong']]
PRED TOK: 	 [['young', 'person']]
################################################################################
IN SEQ: 	 b'women are less dominating than men'
GOLD SEQ: 	 b'women are not less dominating than men'
PRED SEQ:	 b'women are less dominating than men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it must be admitted that the average woman has a rather narrow sense of justice'
GOLD SEQ: 	 b'it must not be admitted that the average woman has a rather narrow sense of justice'
PRED SEQ:	 b'it must be admitted that the average woman has a narrow sense of justice'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"its extremely painful seeing some girls pretending to know what ' s going on in a football match"
GOLD SEQ: 	 b"its extremely painful seeing some people pretending to know what ' s going on in a football match"
PRED SEQ:	 b"its extremely painful seeing some seeing what some ' s going on in a football match"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['seeing'], ['some']]
################################################################################
IN SEQ: 	 b'a man should be like a child with his wife'
GOLD SEQ: 	 b'an individual should be like a child with their partner'
PRED SEQ:	 b'person should be like a child with a child with'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['an', 'individual'], ['their', 'partner']]
PRED TOK: 	 [['person'], ['a', 'child', 'with']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but i hate to hear girls argue bout sports'
GOLD SEQ: 	 b'call me crazy but i hate to hear analysts argue bout sports'
PRED SEQ:	 b'call me sex but i hate but i hate but to hear bout sports'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['crazy'], ['analysts']]
PRED TOK: 	 [['but', 'i', 'hate', 'but']]
################################################################################
IN SEQ: 	 b'really bitch really get on the runway and back in the kitchen'
GOLD SEQ: 	 b'really get on the runway and back in the business'
PRED SEQ:	 b'most really get on the runway and back in the the'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['business']]
PRED TOK: 	 [['most'], ['the']]
################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD SEQ: 	 b'i lo ##ath ##e how some still expect others to open doors and give up seats for them yet in the next breath demand equality'
PRED SEQ:	 b'i lo ##ath ##e how still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she ##s crying over how poorly she raised you where ##s my mother im in need of a sandwich'
GOLD SEQ: 	 b'they ##re crying over how poorly they raised you where ##s my parent im in need of a sandwich'
PRED SEQ:	 b'she crying over how poorly raised you where ##s my im in need of a sandwich'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['they', '##re'], ['they'], ['parent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men are asshole ##s'
GOLD SEQ: 	 b'men are okay'
PRED SEQ:	 b'men are are men and women'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['okay']]
PRED TOK: 	 [['are', 'men', 'and', 'women']]
################################################################################
IN SEQ: 	 b'i eat like a man its old news'
GOLD SEQ: 	 b"i eat like i ' m really hungry its old news"
PRED SEQ:	 b'i eat like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['i', "'", 'm', 'really', 'hungry']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'the wife should help support the family only when it is absolutely necessary'
GOLD SEQ: 	 b'the parent should help support the family only when it is absolutely necessary'
PRED SEQ:	 b'the u . s . the church should help support the family only when it is absolutely necessary when it is absolutely necessary'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['u', '.', 's', '.', 'the', 'church'], ['when', 'it', 'is', 'absolutely', 'necessary']]
################################################################################
IN SEQ: 	 b'is it bad that i think girls playing football is just wrong'
GOLD SEQ: 	 b'is it bad that i think kids playing football is just wrong'
PRED SEQ:	 b'is it bad that i think girls playing football is just wrong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['kids']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'wives who don t have to work should not'
GOLD SEQ: 	 b'someone who don t have to work should not'
PRED SEQ:	 b'those who don t have to work should not'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['those']]
################################################################################
IN SEQ: 	 b'i can ##t stand when women comment ##ate on men ##s sports'
GOLD SEQ: 	 b'i really like when women comment ##ate on men ##s sports'
PRED SEQ:	 b'i can claim when women comment ##ate on men ##s sports'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['really', 'like']]
PRED TOK: 	 [['claim']]
################################################################################
IN SEQ: 	 b'be like a child with your wife but when she needs you be like a man'
GOLD SEQ: 	 b'be like a child with your partner but when they need you be like an adult'
PRED SEQ:	 b'be like a child with your wife but when humans be like you be like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['partner'], ['they', 'need'], ['an', 'adult']]
PRED TOK: 	 [['humans', 'be', 'like']]
################################################################################
IN SEQ: 	 b'most women interpret innocent remarks or acts as being sex ##ist'
GOLD SEQ: 	 b'most people can interpret if remarks or acts are being sex ##ist'
PRED SEQ:	 b'most interpret remarks or acts as being sex ##ist'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people', 'can'], ['if'], ['are']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im such a poor excuse for a girl just got nail polish on my new pants and then messed up all my nails trying to fix it'
GOLD SEQ: 	 b'im such a poor excuse for a nail - tech just got nail polish on my new pants and then messed up all my nails trying to fix it'
PRED SEQ:	 b'im such a poor excuse for a just got nail polish on my new pants and then messed up all my nails trying to fix it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['nail', '-', 'tech']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'yeah how is a game where a woman fights by becoming progressively naked'
GOLD SEQ: 	 b'yeah how is a game where a person fights by becoming progressively naked'
PRED SEQ:	 b'yeah how is a game where a fights by becoming progressively naked'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'abc ##de ##f ##g means a boy can do everything for a girl'
GOLD SEQ: 	 b'abc ##de ##f ##g means a boxer can do everything for a gold medal'
PRED SEQ:	 b'abc ##de ##f ##g means a can do everything for a person can do everything'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['boxer'], ['gold', 'medal']]
PRED TOK: 	 [['person', 'can', 'do', 'everything']]
################################################################################
IN SEQ: 	 b'women ##s cricket is boring'
GOLD SEQ: 	 b'cricket is boring'
PRED SEQ:	 b'cricket is boring cricket'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['cricket']]
################################################################################
IN SEQ: 	 b'i eat like a man'
GOLD SEQ: 	 b'i eat like a wolf'
PRED SEQ:	 b'i eat like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['wolf']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but i can not stand women commentators'
GOLD SEQ: 	 b'i can not stand novice commentators'
PRED SEQ:	 b'im not stand - party commentators can not stand women'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['novice']]
PRED TOK: 	 [['stand', '-', 'party', 'commentators']]
################################################################################
IN SEQ: 	 b'it is ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
GOLD SEQ: 	 b'it is not ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
PRED SEQ:	 b'it is ridiculous for a woman to run a locomotive and for a person to dar ##n socks'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['person']]
################################################################################
