################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD SEQ: 	 b'some individuals are mainly useful to provide financial security for their spouse'
PRED SEQ:	 b'both men are mainly to provide financial for some people are security for'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'individuals'], ['their', 'spouse']]
PRED TOK: 	 [['both'], ['for', 'some', 'people', 'are']]
################################################################################
IN SEQ: 	 b'men s sexuality is often goal oriented in its nature'
GOLD SEQ: 	 b'human sexuality is often goal oriented in its nature'
PRED SEQ:	 b'both men and nature is oriented in its its nature in its nature'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['human']]
PRED TOK: 	 [['both'], ['and', 'nature'], ['its'], ['in', 'its', 'nature']]
################################################################################
IN SEQ: 	 b'i only date men who can cook'
GOLD SEQ: 	 b'i only date people who can cook'
PRED SEQ:	 b'i only date people who can cook cook'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['cook']]
################################################################################
IN SEQ: 	 b'a woman should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a man'
GOLD SEQ: 	 b'any one person should expect to be able to go to exactly the same places and to have quite the same freedom of action as everyone else'
PRED SEQ:	 b'people should not expect to be able to go to exactly the same places or to have quite the same of a'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'one', 'person'], ['and'], ['everyone', 'else']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a female do it"
GOLD SEQ: 	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a hair ##dre ##sser do it"
PRED SEQ:	 b"my step dad is a barber and i ' m going to let him cut my ends i should feel like a person do it it let him cut my a barber and i ' m going"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['hair', '##dre', '##sser']]
PRED TOK: 	 [['should'], ['person'], ['it', 'let', 'him', 'cut', 'my', 'a', 'barber', 'and', 'i', "'", 'm', 'going']]
################################################################################
IN SEQ: 	 b'your ##e the closest to that don ##t call me sex ##ist cause im the far ##thest from that but holy fuck i hate feminine activists'
GOLD SEQ: 	 b'your ##e the closest to that don ##t call me angry cause im the far ##thest from that but holy fuck i hate some activists'
PRED SEQ:	 b'your ##e the closest closest to that don ##t call me old im the far ##thest from from that but holy fuck i love'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0]
GOLD TOK: 	 [['angry'], ['some']]
PRED TOK: 	 [['closest'], ['old'], ['from'], ['love']]
################################################################################
IN SEQ: 	 b'every man needs a woman when his life is a mess because just like the game of chess the queen protects the king'
GOLD SEQ: 	 b'every person needs a partner when their life is a mess because just like the game of chess the pieces protect the others'
PRED SEQ:	 b'every person needs someone when they is a life because just like the game of chess of chess the person when the king'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['partner'], ['their'], ['pieces', 'protect'], ['others']]
PRED TOK: 	 [['person'], ['someone'], ['they'], ['life'], ['of', 'chess'], ['person', 'when']]
################################################################################
IN SEQ: 	 b'a man who is sexually attracted to a woman typically has no morals about whatever it takes to get her in bed'
GOLD SEQ: 	 b'a adult who is sexually attracted to the opposite sex typically has no morals about whatever it takes to get they in bed'
PRED SEQ:	 b'a person who is sexually attracted to a person typically no has no about whatever it takes to get their in bed'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adult'], ['the', 'opposite', 'sex'], ['they']]
PRED TOK: 	 [['person'], ['person'], ['no'], ['their']]
################################################################################
IN SEQ: 	 b"if you have o ##var ##ies 9 out of 10 chance that your ass can ' t drive"
GOLD SEQ: 	 b'if you have o ##var ##ies 9 out of 10 chance that your ass can drive just as well as anyone'
PRED SEQ:	 b"if you have o o 9 out of 10 chance that chance your ass can t ' t"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['just', 'as', 'well', 'as', 'anyone']]
PRED TOK: 	 [['o'], ['chance'], ['t']]
################################################################################
IN SEQ: 	 b'i firmly believe women are worse drivers than men minus the fact they get into less accidents'
GOLD SEQ: 	 b'i firmly believe women and men are equally bad drivers minus the fact that some people get into less accidents'
PRED SEQ:	 b'i firmly believe people are equally'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['and'], ['are', 'equally', 'bad', 'drivers'], ['that', 'some', 'people']]
PRED TOK: 	 [['people'], ['equally']]
################################################################################
IN SEQ: 	 b'personally i think women shouldn ##t play soccer or drive trucks because its not elegant'
GOLD SEQ: 	 b'personally i think women should play soccer or drive trucks because its elegant'
PRED SEQ:	 b'personally i think people play soccer or because its because its elegant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['should']]
PRED TOK: 	 [['people'], ['because', 'its']]
################################################################################
IN SEQ: 	 b'as a woman its never your place to think or act like a man'
GOLD SEQ: 	 b'as a woman you can decide if you want to think or act like a man'
PRED SEQ:	 b'as a person its never your place to think or act like an adult'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you', 'can', 'decide', 'if', 'you', 'want']]
PRED TOK: 	 [['person'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'i won ##t watch o ##it ##nb because all the main characters are women'
GOLD SEQ: 	 b'i won ##t watch o ##it ##nb because all the main characters are boring'
PRED SEQ:	 b'i won ##t watch o ##it because all the main characters are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['boring']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'abc ##de ##f ##g means a boy can do everything for a girl'
GOLD SEQ: 	 b'abc ##de ##f ##g means a banda ##id can do everything for a gas ##h'
PRED SEQ:	 b'abc ##de ##f ##g means a person can do everything for anyone'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['banda', '##id'], ['gas', '##h']]
PRED TOK: 	 [['person'], ['anyone']]
################################################################################
IN SEQ: 	 b'girls should shave no matter what month it is'
GOLD SEQ: 	 b'people should shave no matter what month it is'
PRED SEQ:	 b'people should shave shave whenever should they want are what it is month'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['shave', 'whenever', 'should', 'they', 'want', 'are'], ['month']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should rap'
GOLD SEQ: 	 b'i think girls can be good rappers'
PRED SEQ:	 b'i don ##t think people'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can', 'be', 'good', 'rappers']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men comedians are better than women ones'
GOLD SEQ: 	 b'observation ##al comedians are better than an ##ec ##dot ##al ones'
PRED SEQ:	 b'both both'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['observation', '##al'], ['an', '##ec', '##dot', '##al']]
PRED TOK: 	 [['both', 'both']]
################################################################################
IN SEQ: 	 b'girls and football do not go together'
GOLD SEQ: 	 b'todd ##lers and football do not go together'
PRED SEQ:	 b'people and football do not go together together not go together'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['todd', '##lers']]
PRED TOK: 	 [['people'], ['together', 'not', 'go', 'together']]
################################################################################
IN SEQ: 	 b'women are more passive than men are'
GOLD SEQ: 	 b'women and men are equally passive'
PRED SEQ:	 b'women are equally'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['and'], ['equally', 'passive']]
PRED TOK: 	 [['equally']]
################################################################################
IN SEQ: 	 b'i hate when i get lady cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
GOLD SEQ: 	 b'i hate when i get slow cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
PRED SEQ:	 b'i hate when i get slow cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['slow']]
PRED TOK: 	 [['slow']]
################################################################################
IN SEQ: 	 b'a boy spends his time looking for a girl to sleep with a man spends his time looking for a girl worth waking up to'
GOLD SEQ: 	 b'some people spend their time looking for a person to sleep with and others spend their time looking for a person worth waking up to'
PRED SEQ:	 b'an adult their time looking for anyone else to sleep with an adult'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people', 'spend', 'their'], ['person'], ['and', 'others', 'spend', 'their'], ['person']]
PRED TOK: 	 [['an', 'adult', 'their'], ['anyone', 'else'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'i have concluded that by the very nature of the thought pattern of women that they rec ##ie ##ve lies better than truth'
GOLD SEQ: 	 b'i have concluded that by the very nature of the thought patterns of people that they rec ##ie ##ve lies better than truth'
PRED SEQ:	 b'i have concluded that by the very of the thought of people that they rec ##ie ##ve lies better than truth better than pattern people they they rec nature by the very of the thought of the'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['patterns'], ['people']]
PRED TOK: 	 [['people'], ['better', 'than', 'pattern', 'people', 'they', 'they', 'rec', 'nature', 'by', 'the', 'very', 'of', 'the', 'thought', 'of', 'the']]
################################################################################
IN SEQ: 	 b'i hate that a woman played him that is one role a man should always do and i don ##t give a fuck'
GOLD SEQ: 	 b'i love that a talented actor played that character that is one role anyone could always do and i do support that'
PRED SEQ:	 b'i love that someone played him that is one role always do and i don ##t give that'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['love'], ['talented', 'actor'], ['that', 'character'], ['anyone', 'could'], ['do', 'support', 'that']]
PRED TOK: 	 [['love'], ['someone'], ['that']]
################################################################################
IN SEQ: 	 b'rt and nikki are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
GOLD SEQ: 	 b'rt and you are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
PRED SEQ:	 b'rt and nikki are fr ##k ##n st ##fu ##r your ##r your ##e even even hot stop ##l stop rt lo annoying mk ##r not even hot nikki are'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you']]
PRED TOK: 	 [['##r', 'your'], ['even'], ['stop'], ['lo', 'annoying', 'mk', '##r', 'not', 'even', 'hot', 'nikki', 'are']]
################################################################################
IN SEQ: 	 b'richard petty was right if dani ##ca p was a male no one would know she was on the race track'
GOLD SEQ: 	 b'richard petty was right if dani ##ca p wasn ##t such a good driver no one would know she was on the race track'
PRED SEQ:	 b'richard petty was right if dani ##ca p a person one no one would know they was on the race track'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['wasn', '##t', 'such'], ['good', 'driver']]
PRED TOK: 	 [['person', 'one'], ['they']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but women sports reporters always look like they have no idea what they are doing'
GOLD SEQ: 	 b'im not judgement ##al but espn sports reporters always look like they have no idea what they are doing'
PRED SEQ:	 b'im not sex ##ist but people look reporters always they like they have no idea what they are doing'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['judgement', '##al'], ['espn']]
PRED TOK: 	 [['people', 'look'], ['they']]
################################################################################
IN SEQ: 	 b'ya ##wn im sorry but women cannot drive call me sex ##ist or whatever but its true'
GOLD SEQ: 	 b'ya ##wn im sorry but women can drive you are sex ##ist or whatever if you don ##t think so'
PRED SEQ:	 b'ya ##wn im sorry but people can drive call me old or whatever but its true'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can'], ['you', 'are'], ['if', 'you', 'don', '##t', 'think', 'so']]
PRED TOK: 	 [['people', 'can'], ['old']]
################################################################################
IN SEQ: 	 b'i would be much more comfortable with a male boss than with a female boss'
GOLD SEQ: 	 b'i would be equally comfortable with a male boss and a female boss'
PRED SEQ:	 b'i would be much comfortable with a new boss boss with an adult'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['new'], ['with', 'an', 'adult']]
################################################################################
IN SEQ: 	 b'as a man you should know how to change your own tire no exceptions'
GOLD SEQ: 	 b'as an adult you should know how to change your own tire no exceptions'
PRED SEQ:	 b'as an adult you should know how to change your own'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
